samples,_request,[]
samples,close_topic,"{'success': 'OK', 'topic_status_update': None}"
samples,create_category,"{'category': {'id': 0, 'name': 'string', 'color': 'string', 'text_color': 'string', 'slug': 'string', 'topic_count': 0, 'post_count': 0, 'position': 0, 'description': 'string', 'description_text': 'string', 'topic_url': 'string', 'logo_url': 'string', 'background_url': 'string', 'read_restricted': True, 'permission': 'string', 'notification_level': 'string', 'can_edit': True, 'topic_template': 'string', 'has_children': True, 'available_groups': [], 'auto_close_hours': 0, 'auto_close_based_on_last_post': True, 'group_permissions': [], 'email_in': True, 'email_in_allow_strangers': True, 'suppress_from_homepage': True, 'can_delete': True, 'cannot_delete_reason': 'string', 'allow_badges': True, 'custom_fields': {}}}"
samples,create_new_tag_group,"{'tag_group': {'id': 0, 'name': 'string', 'tag_names': ['string'], 'parent_tag_name': [{'tag_name': 'string'}], 'one_per_topic': True}}"
samples,create_topic,"{'id': 0, 'name': 'string', 'username': 'string', 'avatar_template': 'string', 'created_at': 'string', 'cooked': 'string', 'post_number': 0, 'post_type': 0, 'updated_at': 'string', 'reply_count': 0, 'reply_to_post_number': None, 'quote_count': 0, 'avg_time': None, 'incoming_link_count': 0, 'reads': 0, 'score': 0, 'yours': True, 'topic_id': 0, 'topic_slug': 'string', 'display_username': 'string', 'primary_group_name': None, 'primary_group_flair_url': None, 'primary_group_flair_bg_color': None, 'primary_group_flair_color': None, 'version': 0, 'can_edit': True, 'can_delete': True, 'can_recover': True, 'can_wiki': True, 'user_title': None, 'actions_summary': [{'id': 0, 'hidden': True, 'can_act': True}], 'moderator': True, 'admin': True, 'staff': True, 'user_id': 0, 'draft_sequence': 0, 'hidden': True, 'hidden_reason_id': None, 'trust_level': 0, 'deleted_at': None, 'user_deleted': True, 'edit_reason': None, 'can_view_edit_history': True, 'wiki': True}"
samples,create_user,"{'success': True, 'active': True, 'message': 'string', 'user_id': 0}"
samples,get_categories,"{'category_list': {'can_create_category': True, 'can_create_topic': True, 'draft': True, 'draft_key': 'string', 'draft_sequence': 0, 'categories': [{'id': 0, 'name': 'string', 'color': 'string', 'text_color': 'string', 'slug': 'string', 'topic_count': 0, 'post_count': 0, 'position': 0, 'description': 'string', 'description_text': 'string', 'topic_url': 'string', 'logo_url': 'string', 'background_url': 'string', 'read_restricted': True, 'permission': 0, 'notification_level': 'string', 'can_edit': True, 'topic_template': 'string', 'has_children': True, 'topics_day': 0, 'topics_week': 0, 'topics_month': 0, 'topics_year': 0, 'topics_all_time': 0, 'description_excerpt': 'string'}]}}"
samples,get_tag,"{'topic_list': {'can_create_topic': True, 'draft': None, 'draft_key': 'new_topic', 'draft_sequence': 1, 'per_page': 30, 'tags': [{'id': 1, 'name': 'test_tag1', 'topic_count': 0, 'staff': False}], 'topics': []}}"
samples,get_tag_groups,"{'tag_group': {'id': 0, 'name': 'string', 'tag_names': ['string'], 'parent_tag_name': [{'tag_name': 'string'}], 'one_per_topic': True}}"
samples,open_topic,"{'success': 'OK', 'topic_status_update': None}"
samples,pin_topic,"{'success': 'OK', 'topic_status_update': None}"
samples,set_tags_to_topic,"{'basic_topic': {'id': 11, 'title': 'Test Topic #1', 'fancy_title': 'Test Topic #1', 'slug': 'test-topic-1', 'posts_count': 4}}"
samples,unpin_topic,"{'success': 'OK', 'topic_status_update': None}"
samples,update_a_tag_group,"{'success': 'OK', 'tag_group': {'id': 0, 'name': 'string', 'tag_names': ['string'], 'parent_tag_name': [{'tag_name': 'string'}], 'one_per_topic': True}}"
samples,upload_image_or_avatar,"{'id': 0, 'user_id': 0, 'original_filename': 'string', 'filesize': 0, 'width': 0, 'height': 0, 'url': 'string', 'created_at': 'string', 'updated_at': 'string', 'sha1': 'string', 'origin': None, 'retain_hours': None}"
